"id","chapter_name","org_id","class_id","subject_id","status","created_at","upated_at"
"1","Chapter 1","10","11","8","1","2023-08-23 23:29:55","2023-08-23 23:29:55"
"2","Chapter 2","10","11","8","1","2023-08-23 23:30:12","2023-08-23 23:30:12"
"3","Chapter 1","11","13","10","1","2023-08-23 23:30:25","2023-08-23 23:30:25"
"4","Chapter 2","11","13","10","1","2023-08-23 23:30:33","2023-08-23 23:30:33"
"5","Chapter 3","11","12","9","1","2023-08-23 23:30:51","2023-08-23 23:30:51"
"6","Chapter 1","11","13","10","1","2023-08-26 17:03:28","2023-08-26 17:03:28"
"7","Chapter 1","11","13","10","1","2023-08-26 17:03:35","2023-08-26 17:03:35"
"8","CHapter 4","10","11","8","1","2023-08-27 12:07:03","2023-08-27 12:07:03"
"10","Chapter 1","10","11","11","1","2023-09-02 12:08:42","2023-09-02 12:08:42"
"11","Chapter 2","10","11","11","1","2023-09-02 12:08:53","2023-09-02 12:08:53"
